"fh_cl";"wvs_confgov";"wef_fgo";"diat_ati";"wbgi_cce";"wef_ebf";"wef_pr";"wbgi_pse";"eiu_fog";"fe_cultdiv";"fe_etfra";"al_language";"fac1";"fac2"
5;2.2980952;2.23960137367248;32;-0.475628614425659;2.63311719894409;2.53843331336975;-1.31856608390808;2.21000003814697;0.23737627;0.31999999;0.442661911249161;-2.82662643027322;-0.954114688849721
5;3.1675057;3.58821845054627;38;-1.07637333869934;3.86286044120789;3.95630693435669;-0.687900722026825;1.78999996185303;0.18719077;0.18754703;0.205391898751259;-1.4770621763833;-1.44809751246371
2;2.1107044;1.85321366786957;52;-0.487577170133591;2.95643258094788;2.647709608078;0.083812840282917;5.71000003814697;0;0.25489998;0.0617542006075382;-0.945030976507937;-2.25948564569305
1;2.1539695;4.17918109893799;76;1.9961314201355;5.91626071929932;5.45456743240357;0.995007395744324;8.93000030517578;0.14654404;0.14850396;0.33494970202446;3.19696444100696;0.180984789359004
6;2.9110739;4.54506635665894;40;0.393336445093155;5.19720649719238;5.66620111465454;-1.13749897480011;2.5;0.45981014;0.55059999;0.434362500905991;-0.401831911843991;1.40082035848505
4;2.176698;2.99013209342956;58;-0.529023408889771;3.6348078250885;4.34588623046875;0.114762343466282;3.21000003814697;0.12419504;0.13379997;0.129053503274918;-0.452755046262052;-1.68563378151602
1;2.1340261;4.1032977104187;68;1.55308139324188;5.41586112976074;5.25998735427857;0.900993824005127;8.21000003814697;0.46175814;0.56700003;0.540884375572205;1.74763521343044;2.23161794120524
2;2.1486359;2.94903016090393;62;-0.0739103108644485;3.68787980079651;4.66533184051514;0.045203622430563;7.5;0.019900024;0.54949999;0.0468442998826504;0.358140093816997;-0.948302598898976
1;2.1370559;4.27121686935425;71;1.56363880634308;5.30937194824219;5.1590166091919;0.342580884695053;8.56999969482422;0.16699994;0.49699998;0.187076106667519;2.06556874026014;0.373190971888054
6;3.3217018;3.83464026451111;30;-0.482409685850143;4.03972053527832;4.85667085647583;-0.552419662475586;4.6399998664856;0.15359998;0.15359998;0.132697701454163;-0.138677072592924;-1.33922787392747
4;2.2506666;2.6135950088501;57;-0.435387641191482;3.46519780158997;3.80484819412231;-1.39748764038086;7.5;0.019800007;0.65600002;0.019268199801445;-0.912951887755512;-1.13282598833936
1;2.2331667;3.33110594749451;68;1.24493896961212;4.37327194213867;5.24373388290405;0.618188142776489;6.42999982833862;0.35920006;0.35920006;0.396160095930099;1.13035926530558;0.815057712426863
3;2.5195997;2.94605088233948;39;-0.658145010471344;3.10710597038269;3.35450196266174;-0.60478550195694;4.6399998664856;0.48000002;0.65499997;0.130811601877212;-1.98931985561111;0.226353809755644
1;2.4717033;4.10500955581665;75;0.979861915111542;4.98437070846558;5.1933856010437;0.597156703472137;7.1399998664856;0.49195296;0.51104999;0.494427710771561;1.04139033736344;1.8603388685854
1;2.2942276;5.06306648254395;80;2.22157979011536;6.49126052856445;6.45136260986328;1.38084411621094;9.64000034332275;0.13150001;0.13150001;0.141207501292229;4.37525182928047;0.0744184915655536
3;2.1444736;3.35511898994446;59;0.250530987977982;4.08985090255737;3.07086992263794;-0.674210727214813;3.21000003814697;0.40379506;0.49012578;0.474851995706558;-1.57958576704821;0.548208181427029
1;2.4003112;4.47591066360474;69;1.78272426128387;5.81533145904541;5.83248662948608;0.774780929088593;8.21000003814697;0.090012074;0.094923019;0.164230599999428;3.21620412695384;-0.498869713745303
2;2.73299;2.97134852409363;61;-0.103126361966133;3.80292224884033;3.86230659484863;0.106876455247402;5;0.38779819;0.84605002;0.673087894916534;-1.35197213797636;1.87450955505873
2;1.7426516;2.60816526412964;61;0.277985870838165;3.57262969017029;3.81904530525208;0.665253758430481;6.07000017166138;0.18496782;0.18642402;0.0296652000397444;0.329380127732091;-1.41787714790164
3;2.6400254;2.76066565513611;59;-0.564926862716675;3.75551629066467;4.38154315948486;-1.25199818611145;7.5;0.66651762;0.81098861;0.806904911994934;-1.81257442461045;3.00095288545134
