"eiu_cl";"wef_fgo";"diat_ati";"wbgi_cce";"wef_ebf";"wef_pr";"wbgi_pse";"eiu_fog";"fe_cultdiv";"fe_etfra";"al_language";"fac1";"fac2"
7.34999990463257;2.91240763664246;58;-0.723547756671906;3.86039853096008;3.13665509223938;-0.15804386138916;4;0.081882715;0.096599996;0.0399248003959656;-0.105345334386265;-2.42803523112386
4.40999984741211;2.23960137367248;32;-0.475628614425659;2.63311719894409;2.53843331336975;-1.31856608390808;2.21000003814697;0.23737627;0.31999999;0.442661911249161;-2.29598741467062;-1.57248080441244
3.24000000953674;2.17647099494934;23;-1.29587852954865;2.84375;2.76470589637756;-0.380921721458435;3.21000003814697;0.24188656;0.7561;0.787019193172455;-2.71818936304325;0.0091032235636026
4.71000003814697;3.58821845054627;38;-1.07637333869934;3.86286044120789;3.95630693435669;-0.687900722026825;1.78999996185303;0.18719077;0.18754703;0.205391898751259;-0.892340920822065;-1.63319020756122
7.94000005722046;1.85321366786957;52;-0.487577170133591;2.95643258094788;2.647709608078;0.083812840282917;5.71000003814697;0;0.25489998;0.0617542006075382;-0.294270532087313;-2.60242587166714
10;4.17918109893799;76;1.9961314201355;5.91626071929932;5.45456743240357;0.995007395744324;8.93000030517578;0.14654404;0.14850396;0.33494970202446;3.83087061794661;0.413332675677798
9.40999984741211;3.77828001976013;74;1.34861767292023;5.64340543746948;5.84898662567139;1.32327568531036;8.21000003814697;0.0995906;0.12563103;0.15218660235405;3.82380579296116;-0.132673607627449
1.75999999046326;4.54506635665894;40;0.393336445093155;5.19720649719238;5.66620111465454;-1.13749897480011;2.5;0.45981014;0.55059999;0.434362500905991;0.0434313818287805;1.31218235430699
7.05999994277954;2.23802208900452;49;-0.868326008319855;2.93042325973511;3.62947964668274;-1.35425233840942;5.42999982833862;0.1411745;0.22334999;0.0924851968884468;-0.868175724823663;-2.22325539516794
5.88000011444092;2.99013209342956;58;-0.529023408889771;3.6348078250885;4.34588623046875;0.114762343466282;3.21000003814697;0.12419504;0.13379997;0.129053503274918;0.173359591509023;-1.74978803616096
9.40999984741211;4.1032977104187;68;1.55308139324188;5.41586112976074;5.25998735427857;0.900993824005127;8.21000003814697;0.46175814;0.56700003;0.540884375572205;2.19902597942103;2.1214925732684
3.52999997138977;3.88965511322021;53;0.823656022548676;4.39832782745361;4.32353591918945;0.812469661235809;5.3600001335144;0.51839745;0.60500002;0.605601489543915;0.390003668009609;1.67669745857213
7.34999990463257;3.23711228370667;50;-0.704874515533447;3.41132616996765;3.17938041687012;-0.500611305236816;5;0.66219997;0.74339998;0.223981902003288;-1.74383245318165;0.580355415489148
7.34999990463257;3.01817107200623;51;-0.295952320098877;3.08718991279602;3.34235525131226;-0.536568284034729;2.9300000667572;0.14622402;0.68050599;0.67510312795639;-1.77193190601974;-0.204659165395306
9.40999984741211;4.06263637542725;53;0.918630480766296;4.78473949432373;4.86228513717651;1.08013033866882;7.1399998664856;0.16148645;0.3513;0.410972714424133;2.05491595811905;0.241891587770173
9.11999988555908;2.94903016090393;62;-0.0739103108644485;3.68787980079651;4.66533184051514;0.045203622430563;7.5;0.019900024;0.54949999;0.0468442998826504;0.94297647404556;-1.10090183220019
